run 511: 0.001277 sec, result=1000000.000000
run 512: 0.001337 sec, result=1000000.000000
run 513: 0.001095 sec, result=1000000.000000
run 514: 0.001302 sec, result=1000000.000000
run 515: 0.001022 sec, result=1000000.000000
run 516: 0.001086 sec, result=1000000.000000
run 517: 0.000976 sec, result=1000000.000000
run 518: 0.000849 sec, result=1000000.000000
run 519: 0.000955 sec, result=1000000.000000
run 520: 0.001177 sec, result=1000000.000000
run 521: 0.001436 sec, result=1000000.000000
run 522: 0.001389 sec, result=1000000.000000
run 523: 0.001355 sec, result=1000000.000000
run 524: 0.001743 sec, result=1000000.000000
run 525: 0.001811 sec, result=1000000.000000
run 526: 0.001642 sec, result=1000000.000000
run 527: 0.001393 sec, result=1000000.000000
run 528: 0.001374 sec, result=1000000.000000
run 529: 0.000932 sec, result=1000000.000000
run 530: 0.000863 sec, result=1000000.000000
run 531: 0.000850 sec, result=1000000.000000
run 532: 0.000771 sec, result=1000000.000000
run 533: 0.000806 sec, result=1000000.000000
run 534: 0.001158 sec, result=1000000.000000
run 535: 0.001211 sec, result=1000000.000000
run 536: 0.001190 sec, result=1000000.000000
run 537: 0.001264 sec, result=1000000.000000
run 538: 0.001214 sec, result=1000000.000000
run 539: 0.001147 sec, result=1000000.000000
run 540: 0.001002 sec, result=1000000.000000
run 541: 0.001000 sec, result=1000000.000000
run 542: 0.000917 sec, result=1000000.000000
run 543: 0.000784 sec, result=1000000.000000
run 544: 0.001009 sec, result=1000000.000000
run 545: 0.000896 sec, result=1000000.000000
run 546: 0.001011 sec, result=1000000.000000
run 547: 0.000710 sec, result=1000000.000000
run 548: 0.000601 sec, result=1000000.000000
run 549: 0.000956 sec, result=1000000.000000
run 550: 0.001439 sec, result=1000000.000000
run 551: 0.000628 sec, result=1000000.000000
run 552: 0.000654 sec, result=1000000.000000
run 553: 0.000632 sec, result=1000000.000000
run 554: 0.000629 sec, result=1000000.000000
run 555: 0.000604 sec, result=1000000.000000
run 556: 0.001005 sec, result=1000000.000000
run 557: 0.001153 sec, result=1000000.000000
run 558: 0.001210 sec, result=1000000.000000
run 559: 0.000876 sec, result=1000000.000000
run 560: 0.000660 sec, result=1000000.000000
run 561: 0.000610 sec, result=1000000.000000
run 562: 0.000602 sec, result=1000000.000000
run 563: 0.000600 sec, result=1000000.000000
run 564: 0.000629 sec, result=1000000.000000
run 565: 0.000622 sec, result=1000000.000000
run 566: 0.000627 sec, result=1000000.000000
run 567: 0.000818 sec, result=1000000.000000
run 568: 0.000918 sec, result=1000000.000000
run 569: 0.000876 sec, result=1000000.000000
run 570: 0.001369 sec, result=1000000.000000
run 571: 0.001648 sec, result=1000000.000000
run 572: 0.001622 sec, result=1000000.000000
run 573: 0.001027 sec, result=1000000.000000
run 574: 0.001848 sec, result=1000000.000000
run 575: 0.001366 sec, result=1000000.000000
run 576: 0.001213 sec, result=1000000.000000
run 577: 0.001740 sec, result=1000000.000000
run 578: 0.001285 sec, result=1000000.000000
run 579: 0.001240 sec, result=1000000.000000
run 580: 0.001025 sec, result=1000000.000000
run 581: 0.000927 sec, result=1000000.000000
run 582: 0.000938 sec, result=1000000.000000
run 583: 0.001022 sec, result=1000000.000000
run 584: 0.001662 sec, result=1000000.000000
run 585: 0.001184 sec, result=1000000.000000
run 586: 0.001209 sec, result=1000000.000000
run 587: 0.001421 sec, result=1000000.000000
run 588: 0.000998 sec, result=1000000.000000
run 589: 0.001101 sec, result=1000000.000000
run 590: 0.000938 sec, result=1000000.000000
run 591: 0.001026 sec, result=1000000.000000
run 592: 0.001096 sec, result=1000000.000000
run 593: 0.001246 sec, result=1000000.000000
run 594: 0.000921 sec, result=1000000.000000
run 595: 0.000826 sec, result=1000000.000000
run 596: 0.000706 sec, result=1000000.000000
run 597: 0.001072 sec, result=1000000.000000
run 598: 0.001528 sec, result=1000000.000000
run 599: 0.001647 sec, result=1000000.000000
run 600: 0.001590 sec, result=1000000.000000
run 601: 0.001477 sec, result=1000000.000000
run 602: 0.001194 sec, result=1000000.000000
run 603: 0.001146 sec, result=1000000.000000
run 604: 0.001048 sec, result=1000000.000000
run 605: 0.001105 sec, result=1000000.000000
run 606: 0.000914 sec, result=1000000.000000
run 607: 0.000947 sec, result=1000000.000000
run 608: 0.000905 sec, result=1000000.000000
run 609: 0.000801 sec, result=1000000.000000
run 610: 0.000730 sec, result=1000000.000000
run 611: 0.000750 sec, result=1000000.000000
run 612: 0.000793 sec, result=1000000.000000
run 613: 0.000814 sec, result=1000000.000000
run 614: 0.001469 sec, result=1000000.000000
run 615: 0.001205 sec, result=1000000.000000
run 616: 0.001288 sec, result=1000000.000000
run 617: 0.001257 sec, result=1000000.000000
run 618: 0.001086 sec, result=1000000.000000
run 619: 0.000636 sec, result=1000000.000000
run 620: 0.000641 sec, result=1000000.000000
run 621: 0.001053 sec, result=1000000.000000
run 622: 0.000822 sec, result=1000000.000000
run 623: 0.001017 sec, result=1000000.000000
run 624: 0.000662 sec, result=1000000.000000
run 625: 0.000590 sec, result=1000000.000000
run 626: 0.000642 sec, result=1000000.000000
run 627: 0.000593 sec, result=1000000.000000
run 628: 0.000591 sec, result=1000000.000000
run 629: 0.000586 sec, result=1000000.000000
run 630: 0.000581 sec, result=1000000.000000
run 631: 0.000587 sec, result=1000000.000000
run 632: 0.000762 sec, result=1000000.000000
run 633: 0.000861 sec, result=1000000.000000
run 634: 0.000896 sec, result=1000000.000000
run 635: 0.000622 sec, result=1000000.000000
